,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,StScaler-Cosine labels,RobScaler-Cosine labels,RobScaler-Euclidean labels,StScaler-Euclidean labels,RobScaler-manhattan labels,StScaler-manhattan labels,ProbScaler labels
0,0.0,8.0,9.0,0.0,12.0,130.0,1.0,4.0,6.0,0.0,1.0,0.0,0.0,189.0,1.0,23.0,4.0,5.0,2.0,15.0,0.0,10.0,0.0,172.0,0.0,2.0,1.0,0.0,2.0,17.0,2.0,7.0,0.0,0.0,19.0,0.0,6.0,0.0,6.0,7.0,4.0,4.0,0.0,3.0,86.0,0.0,16.0,8.0,18.0,4.0,177.0,12.0,7.0,22.0,0.0,0.0,6.0,3.0,15.0,0.0,6.0,10.0,12.0,2.0,6.0,2.0,0.0,6.0,7.0,16.0,2.0,3.0,0.0,0.0,13.0,0.0,9.0,9.0,5.0,1.0,0.0,5.0,1.0,0.0,29.0,0.0,0.0,9.0,3.0,0.0,4.0,4.0,0.0,1.0,2.0,0.0,4.0,3.0,5.0,4.0,1,4,1,1,1,0,3
1,0.0,3.0,8.0,1.0,4.0,82.0,1.0,3.0,0.0,12.0,12.0,0.0,2.0,114.0,1.0,4.0,29.0,1.0,24.0,30.0,0.0,1.0,2.0,121.0,12.0,3.0,8.0,1.0,5.0,1.0,1.0,0.0,0.0,2.0,0.0,12.0,2.0,8.0,2.0,1.0,0.0,1.0,0.0,2.0,87.0,0.0,24.0,1.0,4.0,0.0,188.0,8.0,3.0,2.0,3.0,1.0,7.0,20.0,0.0,16.0,3.0,0.0,0.0,6.0,4.0,4.0,7.0,17.0,0.0,3.0,3.0,26.0,0.0,1.0,5.0,2.0,3.0,14.0,1.0,6.0,10.0,0.0,1.0,0.0,0.0,0.0,10.0,8.0,4.0,6.0,0.0,1.0,0.0,1.0,3.0,4.0,10.0,1.0,3.0,5.0,1,4,1,1,1,0,3
2,3.0,6.0,1.0,3.0,0.0,146.0,6.0,1.0,0.0,3.0,2.0,7.0,0.0,80.0,6.0,1.0,0.0,2.0,0.0,10.0,5.0,0.0,14.0,150.0,1.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,7.0,2.0,8.0,5.0,1.0,6.0,0.0,14.0,0.0,0.0,3.0,2.0,143.0,4.0,26.0,8.0,0.0,0.0,95.0,5.0,5.0,2.0,0.0,23.0,8.0,0.0,10.0,4.0,1.0,0.0,1.0,0.0,8.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,6.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,7.0,0.0,5.0,1.0,0.0,1.0,4.0,0.0,2.0,0.0,2.0,3.0,9.0,0.0,0.0,33.0,1,4,1,1,1,0,3
3,1.0,0.0,0.0,17.0,0.0,94.0,1.0,31.0,1.0,1.0,4.0,0.0,2.0,152.0,1.0,0.0,2.0,3.0,5.0,2.0,10.0,1.0,14.0,107.0,3.0,2.0,10.0,0.0,1.0,4.0,6.0,0.0,1.0,2.0,20.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,10.0,204.0,9.0,10.0,5.0,3.0,0.0,96.0,2.0,1.0,1.0,6.0,6.0,1.0,9.0,4.0,1.0,0.0,6.0,7.0,21.0,1.0,8.0,0.0,0.0,4.0,3.0,2.0,8.0,9.0,2.0,0.0,6.0,5.0,9.0,0.0,4.0,3.0,11.0,1.0,0.0,1.0,2.0,5.0,7.0,9.0,2.0,2.0,0.0,1.0,2.0,1.0,3.0,0.0,8.0,3.0,9.0,1,4,1,1,1,0,3
4,2.0,1.0,4.0,0.0,2.0,150.0,8.0,12.0,2.0,10.0,5.0,0.0,40.0,160.0,6.0,3.0,9.0,0.0,0.0,1.0,0.0,0.0,10.0,85.0,3.0,0.0,5.0,9.0,13.0,1.0,0.0,5.0,1.0,2.0,11.0,0.0,0.0,13.0,1.0,0.0,9.0,2.0,17.0,0.0,99.0,2.0,4.0,11.0,5.0,1.0,152.0,15.0,10.0,1.0,1.0,6.0,4.0,13.0,5.0,0.0,1.0,13.0,1.0,3.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,5.0,5.0,16.0,0.0,2.0,3.0,9.0,4.0,3.0,18.0,12.0,7.0,8.0,2.0,17.0,1.0,0.0,1.0,0.0,5.0,1.0,5.0,3.0,3.0,1.0,0.0,1,4,1,1,1,0,3
5,0.0,5.0,4.0,12.0,1.0,129.0,27.0,5.0,2.0,0.0,23.0,1.0,15.0,196.0,3.0,11.0,7.0,13.0,1.0,0.0,2.0,22.0,4.0,123.0,0.0,12.0,4.0,0.0,24.0,7.0,0.0,17.0,0.0,6.0,1.0,2.0,3.0,6.0,1.0,8.0,0.0,2.0,21.0,5.0,177.0,0.0,3.0,2.0,14.0,2.0,191.0,4.0,11.0,2.0,4.0,5.0,2.0,2.0,0.0,3.0,0.0,3.0,10.0,23.0,3.0,16.0,0.0,5.0,24.0,1.0,19.0,6.0,0.0,15.0,0.0,6.0,8.0,10.0,12.0,1.0,1.0,3.0,2.0,11.0,0.0,12.0,9.0,3.0,2.0,2.0,8.0,11.0,0.0,0.0,1.0,1.0,13.0,0.0,0.0,0.0,1,4,1,1,1,0,3
6,0.0,7.0,15.0,13.0,5.0,74.0,1.0,6.0,0.0,7.0,0.0,2.0,6.0,189.0,8.0,6.0,0.0,6.0,2.0,2.0,3.0,13.0,0.0,78.0,5.0,17.0,8.0,4.0,2.0,21.0,2.0,8.0,6.0,6.0,2.0,1.0,2.0,0.0,0.0,8.0,5.0,8.0,23.0,9.0,132.0,0.0,3.0,0.0,14.0,2.0,92.0,0.0,10.0,3.0,0.0,2.0,0.0,2.0,3.0,4.0,8.0,8.0,0.0,0.0,6.0,2.0,0.0,5.0,3.0,2.0,0.0,1.0,4.0,0.0,1.0,6.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,6.0,9.0,2.0,5.0,8.0,1.0,4.0,21.0,1.0,16.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,1,4,1,1,1,0,3
7,8.0,2.0,1.0,0.0,18.0,172.0,9.0,1.0,2.0,0.0,4.0,4.0,2.0,184.0,0.0,1.0,7.0,4.0,5.0,4.0,20.0,0.0,8.0,101.0,33.0,2.0,3.0,12.0,30.0,5.0,2.0,0.0,0.0,4.0,8.0,7.0,3.0,4.0,0.0,10.0,5.0,3.0,13.0,8.0,142.0,0.0,12.0,0.0,0.0,7.0,73.0,0.0,8.0,13.0,9.0,3.0,5.0,0.0,4.0,3.0,11.0,1.0,4.0,1.0,8.0,2.0,5.0,0.0,15.0,0.0,1.0,1.0,0.0,0.0,7.0,3.0,1.0,2.0,0.0,15.0,8.0,0.0,0.0,1.0,6.0,2.0,21.0,12.0,3.0,2.0,17.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,2.0,14.0,1,4,1,1,1,0,3
8,0.0,7.0,0.0,0.0,1.0,88.0,2.0,1.0,13.0,1.0,8.0,3.0,8.0,166.0,0.0,0.0,13.0,0.0,0.0,0.0,3.0,0.0,0.0,190.0,6.0,0.0,1.0,1.0,0.0,1.0,5.0,2.0,0.0,6.0,0.0,1.0,3.0,0.0,6.0,0.0,1.0,0.0,0.0,7.0,112.0,5.0,3.0,14.0,6.0,11.0,93.0,15.0,1.0,0.0,18.0,7.0,9.0,4.0,0.0,7.0,0.0,12.0,0.0,4.0,4.0,6.0,0.0,2.0,0.0,6.0,0.0,9.0,7.0,9.0,4.0,1.0,2.0,7.0,16.0,0.0,2.0,3.0,5.0,2.0,3.0,1.0,4.0,1.0,6.0,4.0,14.0,0.0,0.0,7.0,1.0,7.0,2.0,6.0,2.0,15.0,1,4,1,1,1,0,3
9,0.0,181.0,1.0,0.0,0.0,4.0,125.0,1.0,31.0,7.0,0.0,1.0,13.0,2.0,1.0,6.0,0.0,0.0,0.0,1.0,12.0,20.0,2.0,2.0,8.0,184.0,1.0,0.0,11.0,3.0,1.0,5.0,4.0,2.0,3.0,0.0,11.0,0.0,24.0,1.0,1.0,0.0,0.0,198.0,6.0,3.0,1.0,5.0,8.0,0.0,3.0,2.0,4.0,7.0,0.0,13.0,0.0,50.0,0.0,2.0,11.0,16.0,6.0,15.0,0.0,22.0,5.0,0.0,7.0,2.0,0.0,2.0,2.0,2.0,0.0,19.0,0.0,2.0,0.0,1.0,5.0,0.0,0.0,2.0,19.0,6.0,1.0,0.0,8.0,0.0,21.0,8.0,5.0,10.0,12.0,0.0,2.0,4.0,0.0,0.0,2,7,2,2,3,0,2
