,reuniao,treinamento,atividade,,desc,
Oxi,"0,6",0,16,"16,6",testes OxIA,
AptivIA,"3,2",0,46,50,"Sintese de dados, TIF",
X-Sell,0,6,6,12,"Treinamento react, desenvolvimento backend reserva",
FVDev,"1,5",0,0,"1,5",Reuniões de status
,
,,
Start Time,	End Time,	Duration,
2026-05-22 20:38:13 UTC,	2026-05-22 21:11:21 UTC,	0:33:07,Aptivia,
2026-05-22 14:04:09 UTC,	2026-05-22 14:22:57 UTC,	0:18:47,DevFV,
2026-05-20 17:03:22 UTC,	2026-05-20 17:41:21 UTC,	0:37:58,Oxi,
2026-05-18 20:31:07 UTC,	2026-05-18 21:06:46 UTC,	0:35:38,Aptivia,
2026-05-15 18:31:23 UTC,	2026-05-15 18:48:49 UTC,	0:17:25,Aptivia,
2026-05-15 14:01:14 UTC,	2026-05-15 14:14:38 UTC,	0:13:24,DevFV,
2026-05-04 20:32:11 UTC,	2026-05-04 20:56:10 UTC,	0:23:59,Aptivia,
2026-05-04 12:35:31 UTC,	2026-05-04 12:46:13 UTC,	0:10:41,Aptivia,
2026-05-29 14:00:54 UTC,2026-05-29 14:52:54 UTC,0:52:00,DevFV
2026-05-28 19:03:42 UTC,2026-05-28 19:55:41 UTC,0:51:58,Aptivia
