id_item,status,id_usuario,inputName,outputName,reportName,avaliacao,data_envio,data_aceito,data_iniciado,data_concluido,data_avaliado,texto_avaliacao,motivo_rejeicao
1,0,2,exemplo1.csv,,,-1,2026-07-01T09:00:00.000Z,,,,,,
2,1,2,exemplo1.csv,,,-1,2026-07-01T09:20:00.000Z,2026-07-01,,,,,
3,-1,2,exemplo1.csv,,,-1,2026-07-01T09:40:00.000Z,,,,,,planilha vazia
4,2,2,exemplo1.csv,,,-1,2026-07-01T10:00:00.000Z,2026-07-01T11:10:00.000Z,2026-07-01,,,,
5,3,2,exemplo1.csv,teste.csv,Relatorio_Analitico_CrossSell.docx,-1,2026-07-01T10:20:00.000Z,2026-07-01,2026-07-01,2026-07-02,,,
6,4,2,exemplo1.csv,teste.csv,Relatorio_Analitico_CrossSell.docx,3,2026-07-01T10:40:00.000Z,2026-07-01,2026-07-01,2026-07-02,2026-07-03,avaliacao 1,
7,0,2,Exemplo de input.xlsx,,,-1,2026-07-02T08:30:00.000Z,,,,,,
8,1,2,Exemplo de input.xlsx,,,-1,2026-07-02T08:50:00.000Z,2026-07-02T09:30:00.000Z,,,,,
9,-1,2,Exemplo de input.xlsx,,,-1,2026-07-02T09:10:00.000Z,,,,,,os dados não são numéricos
10,2,2,Exemplo de input.xlsx,,,-1,2026-07-02,2026-07-03T09:00:00.000Z,2026-07-15T13:56:40.626Z,,,,
11,3,2,Exemplo de input.xlsx,teste.xlsx,Relatorio_Analitico_CrossSell.docx,-1,2026-07-02,2026-07-03T09:20:00.000Z,2026-07-03T10:30:00.000Z,2026-07-03T17:00:00.000Z,,,
12,4,2,Exemplo de input.xlsx,teste.xlsx,Relatorio_Analitico_CrossSell.docx,5,2026-07-02,2026-07-03T09:40:00.000Z,2026-07-03T11:00:00.000Z,2026-07-03T17:20:00.000Z,2026-07-16T17:31:28.333Z,avaliacao 2,
